lfhf,pnn50,sloc,ted,elapsed-seconds,label
3.9,0.0,0,0,0,0
3.65,0.0,0,0,1,0
3.47,0.26,0,0,2,0
3.35,0.27,0,0,3,0
3.24,0.27,0,0,4,0
3.03,0.27,0,0,5,0
2.93,0.27,0,0,6,0
2.74,0.27,0,0,7,0
2.65,0.27,0,0,8,0
2.57,0.28,0,0,9,0
2.42,0.28,0,0,10,0
2.35,0.29,0,0,11,0
2.29,0.29,0,0,12,0
2.22,0.29,0,0,13,0
2.07,0.3,0,0,14,0
2.01,0.3,0,0,15,0
1.96,0.3,0,0,16,0
1.87,0.29,0,0,17,0
1.83,0.3,0,0,18,0
1.79,0.29,0,0,19,0
1.76,0.28,0,0,20,0
1.7,0.28,0,0,21,0
1.68,0.29,0,0,22,0
1.66,0.29,0,0,23,0
1.63,0.29,0,0,24,0
1.62,0.29,0,0,25,0
1.61,0.29,0,0,26,0
1.6,0.3,0,0,27,0
1.6,0.3,0,0,0,0
1.59,0.3,0,0,1,0
1.61,0.3,0,0,2,0
1.62,0.31,0,0,4,0
1.69,0.31,0,0,5,0
1.72,0.31,0,0,0,0
1.74,0.31,0,0,1,0
1.78,0.3,0,0,2,0
1.83,0.3,0,0,3,0
1.87,0.3,0,0,4,0
1.92,0.3,0,0,5,0
2.02,0.3,0,0,0,0
2.08,0.3,0,0,1,0
2.15,0.29,8,0,2,0
2.21,0.29,8,0,3,0
2.28,0.29,8,0,4,0
2.44,0.28,8,0,5,0
2.54,0.27,8,0,6,0
2.63,0.27,8,0,7,0
2.7,0.26,8,0,8,0
2.79,0.26,8,0,9,0
2.87,0.27,8,0,10,0
3.03,0.27,8,0,11,0
3.11,0.28,8,0,12,0
3.19,0.28,8,0,13,0
3.3,0.29,8,0,14,0
3.38,0.3,8,0,15,0
3.45,0.29,8,0,16,0
3.59,0.29,8,0,17,0
3.65,0.29,8,0,18,0
3.71,0.3,8,0,19,0
3.76,0.3,8,0,20,0
3.84,0.3,8,0,21,0
3.91,0.31,8,0,22,0
3.93,0.31,8,0,23,0
3.97,0.3,8,0,25,0
3.98,0.31,8,0,26,0
3.99,0.3,8,0,27,0
3.99,0.3,8,0,28,0
3.98,0.3,8,0,29,0
3.96,0.3,8,0,30,0
3.93,0.31,8,0,31,0
3.9,0.32,8,0,32,0
3.87,0.32,8,0,33,0
3.84,0.33,8,0,34,0
3.77,0.33,8,0,35,0
3.73,0.34,8,0,36,0
3.69,0.34,8,0,37,0
3.65,0.34,8,0,38,0
3.58,0.34,8,0,39,0
3.49,0.34,8,0,40,0
3.44,0.34,8,0,41,0
3.39,0.34,8,0,42,0
3.29,0.34,8,0,43,0
3.24,0.33,8,0,44,0
3.19,0.34,8,0,45,0
3.14,0.34,8,0,46,0
3.07,0.34,8,0,47,0
3.02,0.33,8,0,48,0
2.98,0.33,8,0,49,0
2.89,0.31,8,0,50,0
2.85,0.31,8,0,51,0
2.78,0.3,8,0,52,0
2.76,0.3,8,0,53,0
2.71,0.3,8,0,54,0
2.68,0.3,8,0,55,0
2.62,0.3,8,0,56,0
2.6,0.3,8,0,57,0
2.59,0.3,8,0,58,0
2.57,0.3,8,0,59,0
2.55,0.31,8,0,60,0
2.54,0.31,8,0,61,0
2.53,0.3,8,0,62,0
2.54,0.29,8,0,63,0
2.55,0.29,8,0,64,0
2.56,0.29,8,0,65,0
2.58,0.29,8,0,66,0
2.63,0.28,8,0,67,0
2.66,0.27,8,0,68,0
2.7,0.28,8,0,69,0
2.74,0.28,8,0,70,0
2.83,0.28,8,0,71,0
2.88,0.27,8,0,72,0
2.93,0.27,8,0,73,0
3.06,0.26,8,0,74,0
3.13,0.27,8,0,75,0
