,lfhf,pnn50,sloc,ted,elapsed-seconds,label
0,3.9,0.0,0,0,0,0
1,3.65,0.0,0,0,1,0
2,3.47,0.26,0,0,2,0
3,3.35,0.27,0,0,3,0
4,3.24,0.27,0,0,4,0
5,3.03,0.27,0,0,5,0
6,2.93,0.27,0,0,6,0
7,2.74,0.27,0,0,7,0
8,2.65,0.27,0,0,8,0
9,2.57,0.28,0,0,9,0
10,2.42,0.28,0,0,10,0
11,2.35,0.29,0,0,11,0
12,2.29,0.29,0,0,12,0
13,2.22,0.29,0,0,13,0
14,2.07,0.3,0,0,14,0
15,2.01,0.3,0,0,15,0
16,1.96,0.3,0,0,16,0
17,1.87,0.29,0,0,17,0
18,1.83,0.3,0,0,18,0
19,1.79,0.29,0,0,19,0
20,1.76,0.28,0,0,20,0
21,1.7,0.28,0,0,21,0
22,1.68,0.29,0,0,22,0
23,1.66,0.29,0,0,23,0
24,1.63,0.29,0,0,24,0
25,1.62,0.29,0,0,25,0
26,1.61,0.29,0,0,26,0
27,1.6,0.3,0,0,27,0
28,1.6,0.3,0,0,0,0
29,1.59,0.3,0,0,1,0
30,1.61,0.3,0,0,2,0
31,1.62,0.31,0,0,4,0
32,1.69,0.31,0,0,5,0
33,1.72,0.31,0,0,0,0
34,1.74,0.31,0,0,1,0
35,1.78,0.3,0,0,2,0
36,1.83,0.3,0,0,3,0
37,1.87,0.3,0,0,4,0
38,1.92,0.3,0,0,5,0
39,2.02,0.3,0,0,0,0
40,2.08,0.3,0,0,1,0
41,2.15,0.29,8,0,2,0
42,2.21,0.29,8,0,3,0
43,2.28,0.29,8,0,4,0
44,2.44,0.28,8,0,5,0
45,2.54,0.27,8,0,6,0
46,2.63,0.27,8,0,7,0
47,2.7,0.26,8,0,8,0
48,2.79,0.26,8,0,9,0
49,2.87,0.27,8,0,10,0
50,3.03,0.27,8,0,11,0
51,3.11,0.28,8,0,12,0
52,3.19,0.28,8,0,13,0
53,3.3,0.29,8,0,14,0
54,3.38,0.3,8,0,15,0
55,3.45,0.29,8,0,16,0
56,3.59,0.29,8,0,17,0
57,3.65,0.29,8,0,18,0
58,3.71,0.3,8,0,19,0
59,3.76,0.3,8,0,20,0
60,3.84,0.3,8,0,21,0
61,3.91,0.31,8,0,22,0
62,3.93,0.31,8,0,23,0
63,3.97,0.3,8,0,25,0
64,3.98,0.31,8,0,26,0
65,3.99,0.3,8,0,27,0
66,3.99,0.3,8,0,28,0
67,3.98,0.3,8,0,29,0
68,3.96,0.3,8,0,30,0
69,3.93,0.31,8,0,31,0
70,3.9,0.32,8,0,32,0
71,3.87,0.32,8,0,33,0
72,3.84,0.33,8,0,34,0
73,3.77,0.33,8,0,35,0
74,3.73,0.34,8,0,36,0
75,3.69,0.34,8,0,37,0
76,3.65,0.34,8,0,38,0
77,3.58,0.34,8,0,39,0
78,3.49,0.34,8,0,40,0
79,3.44,0.34,8,0,41,0
80,3.39,0.34,8,0,42,0
81,3.29,0.34,8,0,43,0
82,3.24,0.33,8,0,44,0
83,3.19,0.34,8,0,45,0
84,3.14,0.34,8,0,46,0
85,3.07,0.34,8,0,47,0
86,3.02,0.33,8,0,48,0
87,2.98,0.33,8,0,49,0
88,2.89,0.31,8,0,50,0
89,2.85,0.31,8,0,51,0
90,2.78,0.3,8,0,52,0
91,2.76,0.3,8,0,53,0
92,2.71,0.3,8,0,54,0
93,2.68,0.3,8,0,55,0
94,2.62,0.3,8,0,56,0
95,2.6,0.3,8,0,57,0
96,2.59,0.3,8,0,58,0
97,2.57,0.3,8,0,59,0
98,2.55,0.31,8,0,60,0
99,2.54,0.31,8,0,61,0
100,2.53,0.3,8,0,62,0
101,2.54,0.29,8,0,63,0
102,2.55,0.29,8,0,64,0
103,2.56,0.29,8,0,65,0
104,2.58,0.29,8,0,66,0
105,2.63,0.28,8,0,67,0
106,2.66,0.27,8,0,68,0
107,2.7,0.28,8,0,69,0
108,2.74,0.28,8,0,70,0
109,2.83,0.28,8,0,71,0
110,2.88,0.27,8,0,72,0
111,2.93,0.27,8,0,73,0
112,3.06,0.26,8,0,74,0
113,3.13,0.27,8,0,75,0
114,3.2,0.27,8,0,76,0
115,3.28,0.26,8,0,77,0
116,3.44,0.27,8,0,78,0
117,3.53,0.27,8,0,79,0
118,3.63,0.26,8,0,80,0
119,3.83,0.26,8,0,81,0
120,3.93,0.26,8,0,82,0
121,4.04,0.26,8,0,83,0
122,4.27,0.26,8,0,84,0
123,4.39,0.26,8,0,85,0
124,4.62,0.25,8,0,86,0
125,4.75,0.25,8,0,87,0
126,4.97,0.25,8,0,89,0
127,5.41,0.23,8,0,90,0
128,5.57,0.22,8,0,91,0
129,5.74,0.22,8,0,92,0
130,5.9,0.22,8,0,93,0
131,6.06,0.21,8,0,94,0
132,6.39,0.22,8,0,95,0
133,6.55,0.21,8,0,96,0
134,6.71,0.2,8,0,97,0
135,7.01,0.2,8,0,98,0
136,7.15,0.19,8,0,99,0
137,7.47,0.19,8,0,100,0
138,7.64,0.2,8,0,101,0
139,7.84,0.19,8,0,102,0
140,8.21,0.2,8,0,103,0
141,8.41,0.2,8,0,104,0
142,8.6,0.19,8,0,105,0
143,8.8,0.2,8,0,106,0
144,9.14,0.2,8,0,107,0
145,9.23,0.19,8,0,108,0
146,9.55,0.18,8,0,109,0
147,9.78,0.17,8,0,110,0
148,9.95,0.17,8,0,111,0
149,10.0,0.17,8,0,112,0
150,10.0,0.16,8,0,113,0
151,10.0,0.16,8,0,114,0
152,10.0,0.16,8,0,115,0
153,10.0,0.16,8,0,116,0
154,10.0,0.16,8,0,117,0
155,10.0,0.16,8,0,118,0
156,10.0,0.15,8,0,119,0
157,10.0,0.15,8,0,120,0
158,10.0,0.15,8,0,121,0
159,10.0,0.15,8,0,122,0
160,9.66,0.14,8,0,123,0
161,9.46,0.14,8,0,124,0
162,9.22,0.13,8,0,125,0
163,8.97,0.13,8,0,126,0
164,8.72,0.13,8,0,127,0
165,8.23,0.14,8,0,128,0
166,7.92,0.14,8,0,130,0
167,7.54,0.15,8,0,131,0
168,7.34,0.15,8,0,132,0
169,7.14,0.14,8,0,133,0
170,6.74,0.14,8,0,134,0
171,6.55,0.14,8,0,135,0
172,6.37,0.13,8,0,136,0
173,6.05,0.13,8,0,137,0
174,5.89,0.12,8,0,138,0
175,5.74,0.12,8,0,139,0
176,5.59,0.12,8,0,140,0
177,5.45,0.12,8,0,141,0
178,5.33,0.12,8,0,142,0
179,5.15,0.13,8,0,143,0
180,5.04,0.13,8,0,144,0
181,4.85,0.13,8,0,145,0
182,4.77,0.13,8,0,146,0
183,4.67,0.14,8,0,147,0
184,4.47,0.13,8,0,148,0
185,4.39,0.14,8,0,149,0
186,4.32,0.13,8,0,150,0
187,4.24,0.13,8,0,151,0
188,4.11,0.14,8,0,152,0
189,4.08,0.14,8,0,153,0
190,3.96,0.13,8,0,154,0
191,3.9,0.13,8,0,155,0
192,3.83,0.13,8,0,156,0
193,3.78,0.13,8,0,157,0
194,3.68,0.13,8,0,158,0
195,3.61,0.13,8,0,159,0
196,3.59,0.14,8,0,160,0
197,3.51,0.14,8,0,161,0
198,3.47,0.14,8,0,162,0
199,3.44,0.14,8,0,163,0
200,3.37,0.14,8,0,164,0
201,3.33,0.13,8,0,165,0
202,3.31,0.14,8,0,166,0
203,3.28,0.14,8,0,167,0
204,3.24,0.15,8,0,168,0
205,3.23,0.14,8,0,169,0
206,3.19,0.14,8,0,170,0
207,3.18,0.13,8,0,171,0
208,3.18,0.13,8,0,172,0
209,3.18,0.13,8,0,173,0
210,3.18,0.13,8,0,174,0
211,3.19,0.13,8,0,175,0
212,3.21,0.13,8,0,176,0
213,3.24,0.13,8,0,177,0
214,3.26,0.12,8,0,178,0
215,3.29,0.12,8,0,179,0
216,3.31,0.12,8,0,180,0
217,3.38,0.13,8,0,181,0
218,3.4,0.13,8,0,182,0
219,3.43,0.12,8,0,183,0
220,3.51,0.13,8,0,184,0
221,3.55,0.13,8,0,185,0
222,3.66,0.13,8,0,187,0
223,3.73,0.14,8,0,188,0
224,3.77,0.14,8,0,189,0
225,3.85,0.14,8,0,190,0
226,3.89,0.14,8,0,191,0
227,3.93,0.14,8,0,192,0
228,3.99,0.14,8,0,193,0
229,4.03,0.14,8,0,194,0
230,4.08,0.14,8,0,195,0
231,4.11,0.14,8,0,196,0
232,4.13,0.15,8,0,197,0
233,4.14,0.15,8,0,198,0
234,4.15,0.15,8,0,199,0
235,4.16,0.15,8,0,200,0
236,4.18,0.15,8,0,202,0
237,4.17,0.14,8,0,203,0
238,4.16,0.14,8,0,204,0
239,4.15,0.13,8,0,205,0
240,4.13,0.13,8,0,206,0
241,4.11,0.13,8,0,207,0
242,4.09,0.13,8,0,208,0
243,4.05,0.13,8,0,209,0
244,4.03,0.13,8,0,210,0
245,4.01,0.13,8,0,211,0
246,3.97,0.13,8,0,212,0
247,3.94,0.13,8,0,213,0
248,3.92,0.13,8,0,214,0
249,3.87,0.13,13,4,0,0
250,3.85,0.13,13,4,1,0
251,3.82,0.12,13,4,2,0
252,3.78,0.12,13,4,3,0
253,3.75,0.13,13,4,4,0
254,3.73,0.13,13,4,5,0
255,3.7,0.12,13,4,6,0
256,3.67,0.12,13,4,7,0
257,3.64,0.12,13,4,8,0
258,3.59,0.12,13,4,9,0
259,3.57,0.12,13,4,10,0
260,3.56,0.12,13,4,11,0
261,3.53,0.12,13,4,12,0
262,3.48,0.12,13,4,13,0
263,3.46,0.12,13,4,14,0
264,3.45,0.12,13,4,15,0
265,3.41,0.12,13,4,16,0
266,3.39,0.12,13,4,17,0
267,3.39,0.12,13,4,18,0
268,3.36,0.12,13,4,19,0
269,3.35,0.11,13,4,20,0
270,3.34,0.11,13,4,21,0
271,3.32,0.11,13,4,23,0
272,3.33,0.11,13,4,24,0
273,3.33,0.11,13,4,25,0
274,3.34,0.12,13,4,26,0
275,3.35,0.11,13,4,27,0
276,3.37,0.1,13,4,28,0
277,3.39,0.1,13,4,29,0
278,3.43,0.11,13,4,30,0
279,3.46,0.12,13,4,31,0
280,3.49,0.12,13,4,32,0
281,3.56,0.12,13,4,33,0
282,3.59,0.13,13,4,34,0
283,3.65,0.13,13,4,35,0
284,3.69,0.14,13,4,36,0
285,3.8,0.14,13,4,37,0
286,3.85,0.14,13,4,38,0
287,3.91,0.14,14,2,0,0
288,3.98,0.14,14,2,1,0
289,4.04,0.13,14,2,2,0
290,4.17,0.12,14,2,3,0
291,4.24,0.12,14,2,4,0
292,4.3,0.12,14,2,5,0
293,4.36,0.12,14,2,6,0
294,4.45,0.11,14,2,7,0
295,4.56,0.11,14,2,8,0
