lfhf,pnn50,sloc,ted,elapsed-seconds,label
3.26,0.0,0,0,0,0
3.22,0.0,0,0,1,0
3.11,0.2,0,0,2,0
3.0,0.2,0,0,3,0
2.93,0.2,0,0,4,0
2.81,0.19,0,0,5,0
2.74,0.19,0,0,6,0
2.65,0.19,0,0,7,0
2.53,0.19,0,0,8,0
2.47,0.19,0,0,9,0
2.35,0.18,0,0,10,0
2.26,0.18,0,0,11,0
2.19,0.18,0,0,12,0
2.13,0.17,0,0,13,0
2.0,0.16,0,0,14,0
1.92,0.16,0,0,15,0
1.86,0.15,0,0,16,0
1.75,0.15,0,0,17,0
1.7,0.15,0,0,18,0
1.63,0.14,0,0,19,0
1.52,0.15,0,0,20,0
1.47,0.15,0,0,21,0
1.42,0.15,0,0,22,0
1.38,0.15,0,0,23,0
1.28,0.14,0,0,24,0
1.24,0.14,0,0,0,0
1.16,0.14,23,0,1,0
1.12,0.14,23,0,2,0
1.08,0.14,23,0,3,0
1.01,0.14,23,0,4,0
0.97,0.14,23,0,5,0
0.9,0.14,23,0,6,0
0.87,0.13,23,0,7,0
0.84,0.12,23,0,8,0
0.78,0.12,23,0,9,0
0.76,0.12,23,0,10,0
0.74,0.12,23,0,11,0
0.71,0.11,23,0,12,0
0.67,0.11,23,0,13,0
0.65,0.11,23,0,14,0
0.62,0.11,23,0,15,0
0.61,0.12,23,0,16,0
0.6,0.13,23,0,17,0
0.58,0.13,23,0,18,0
0.58,0.13,23,0,19,0
0.57,0.14,23,0,20,0
0.57,0.15,23,0,21,0
0.57,0.15,23,0,22,0
0.57,0.15,23,0,23,0
0.59,0.15,23,0,24,0
0.6,0.15,23,0,25,0
0.62,0.15,23,0,26,0
0.64,0.15,23,0,27,0
0.66,0.16,23,0,28,0
0.68,0.17,23,0,29,0
0.71,0.17,23,0,30,0
0.76,0.18,23,0,31,0
0.79,0.19,23,0,32,0
0.82,0.19,23,0,33,0
0.88,0.2,23,0,34,0
0.91,0.2,23,0,35,0
0.95,0.2,24,2,0,0
1.01,0.2,24,2,1,0
1.05,0.2,24,2,2,0
1.08,0.2,24,2,3,0
1.11,0.21,24,2,4,0
1.17,0.21,24,0,0,0
1.18,0.21,24,0,0,0
1.23,0.21,24,0,1,0
1.26,0.21,24,0,2,0
1.3,0.21,24,0,3,0
1.32,0.22,24,0,4,0
1.34,0.22,24,0,5,0
1.36,0.22,24,0,6,0
1.37,0.22,24,0,7,0
1.39,0.23,24,0,8,0
1.41,0.25,24,0,9,0
1.42,0.25,24,0,10,0
1.42,0.24,24,0,11,0
1.43,0.24,24,0,12,0
1.43,0.24,24,0,13,0
1.44,0.25,24,0,14,0
1.43,0.25,24,0,15,0
1.43,0.25,24,0,16,0
1.43,0.27,24,0,17,0
1.42,0.27,24,0,18,0
1.42,0.28,24,0,19,0
1.41,0.28,25,2,0,0
1.41,0.28,25,2,1,0
1.4,0.28,25,2,2,0
1.39,0.29,25,2,3,0
1.39,0.29,25,2,4,0
1.37,0.29,25,2,5,0
1.36,0.29,25,2,6,0
1.35,0.29,25,2,7,0
