lfhf,pnn50,sloc,ted,elapsed-seconds,label
4.99,0.0,0,0,1,0
4.99,0.18,0,0,2,0
5.0,0.17,0,0,3,0
5.02,0.17,0,0,4,0
5.04,0.17,0,0,5,0
5.06,0.18,0,0,6,0
5.09,0.17,0,0,7,0
5.15,0.16,0,0,8,0
5.2,0.16,0,0,9,0
5.24,0.16,0,0,10,0
5.29,0.17,0,0,11,0
5.48,0.18,0,0,12,0
5.53,0.18,0,0,13,0
5.58,0.18,0,0,14,0
5.63,0.18,0,0,15,0
5.78,0.19,0,0,16,0
5.87,0.19,0,0,17,0
5.95,0.19,0,0,18,0
6.12,0.2,0,0,19,0
6.22,0.2,0,0,21,0
6.49,0.21,0,0,22,0
6.58,0.21,0,0,23,0
6.67,0.2,0,0,24,0
6.75,0.21,0,0,25,0
6.9,0.21,0,0,26,0
6.97,0.21,0,0,27,0
6.97,0.21,0,0,28,0
7.1,0.21,0,0,29,0
7.14,0.22,0,0,30,0
7.19,0.23,0,0,31,0
7.27,0.23,0,0,32,0
7.29,0.23,0,0,33,0
7.26,0.24,0,0,34,0
7.27,0.24,0,0,35,0
7.29,0.24,0,0,36,0
7.24,0.25,0,0,37,0
7.18,0.26,0,0,38,0
7.15,0.25,0,0,39,0
7.11,0.25,0,0,40,0
7.0,0.25,0,0,41,0
6.94,0.25,0,0,42,0
6.79,0.26,0,0,43,0
6.71,0.26,0,0,44,0
6.61,0.26,0,0,45,0
6.52,0.27,0,0,46,0
6.43,0.29,0,0,47,0
6.22,0.31,0,0,48,0
6.11,0.32,0,0,49,0
6.0,0.32,0,0,50,0
5.9,0.32,0,0,51,0
5.8,0.32,0,0,52,0
5.54,0.33,0,0,53,0
5.5,0.33,0,0,54,0
5.33,0.35,0,0,55,0
5.23,0.35,0,0,56,0
5.04,0.36,0,0,57,0
4.95,0.36,0,0,58,0
4.86,0.37,0,0,59,0
4.6,0.37,0,0,60,0
4.6,0.38,0,0,61,0
4.37,0.39,0,0,64,0
4.18,0.4,0,0,65,0
3.99,0.4,0,0,66,0
3.93,0.4,0,0,67,0
3.8,0.39,0,0,68,0
3.74,0.38,0,0,69,0
3.68,0.38,0,0,70,0
3.62,0.38,0,0,71,0
